Company Name,Job Title,Salary,Location,Post Time
Công Ty Cổ Phần Phần Mềm Citigo,Data Analyst, 18 Tr - 30 Tr VND,"
Hà Nội
",16/03/2022
Công ty TNHH Viettel - CHT,Data Analyst, Cạnh tranh,"
Hà Nội
",13/03/2022
Công ty TNHH Viettel - CHT,Data Analyst (Mới), Cạnh tranh,"
Hà Nội
",17/03/2022
CÔNG TY CỔ PHẦN GIÁO DỤC VÀ CÔNG NGHỆ HÙNG VƯƠNG,DATA ANALYST," 13,2 Tr - 28,6 Tr VND","
Hà Nội
",14/03/2022
CÔNG TY CỔ PHẦN GIÁO DỤC VÀ CÔNG NGHỆ HÙNG VƯƠNG,DATA ANALYST (Mới)," 15,4 Tr - 33 Tr VND","
Hà Nội
",17/03/2022
Tổng công ty Bưu điện Việt Nam,Data Analyst, 14 Tr - 30 Tr VND,"
Hà Nội
",14/03/2022
CÔNG TY CỔ PHẦN GIÁO DỤC VÀ CÔNG NGHỆ HÙNG VƯƠNG,DATA ANALYST (Mới)," 15,4 Tr - 33 Tr VND","
Hà Nội
",15/03/2022
CÔNG TY CỔ PHẦN KINH DOANH F88,Data analyst, 15 Tr - 25 Tr VND,"
Hà Nội Hồ Chí Minh
",14/03/2022
CÔNG TY CỔ PHẦN KINH DOANH F88,Data analyst, 15 Tr - 25 Tr VND,"
Hà Nội
",12/03/2022
Headhunter HRchannels Group,Data Analyst Manager (Mới)," 37,4 Tr - 55 Tr VND","
Hà Nội Bắc Ninh Bắc Giang
",16/03/2022
CÔNG TY CỔ PHẦN GIÁO DỤC VÀ CÔNG NGHỆ HÙNG VƯƠNG,[HN] Data Analyst," Dưới 28,6 Tr VND","
Hà Nội
",16/03/2022
Tổng Công ty Cổ phần Công trình Viettel,Kỹ sư phân tích dữ liệu - Data Analyst, 15 Tr - 20 Tr VND,"
Hà Nội
",20/02/2022
Công Ty Cổ Phần Foody,Driver Data Analyst (Excel) - ShopeeFood, 8 Tr - 15 Tr VND,"
Hà Nội
",25/02/2022
LOTTE FINANCE VIETNAM,"Data analyst and report - Chuyên viên Phân tích, báo cáo", Cạnh tranh,"
Hà Nội
",26/02/2022
LOTTE FINANCE VIETNAM,"Data analyst and report - Chuyên viên Phân tích, báo cáo", Cạnh tranh,"
Hà Nội
",15/03/2022
LOTTE FINANCE VIETNAM,"Data Analyst And Report - Chuyên Viên Phân Tích, Báo Cáo", Cạnh tranh,"
Hà Nội
",06/03/2022
LOTTE FINANCE VIETNAM,"Data analyst and report - Chuyên viên Phân tích, báo cáo (Mới)", Cạnh tranh,"
Hà Nội
",17/03/2022
CÔNG TY CỔ PHẦN GIÁO DỤC VÀ CÔNG NGHỆ HÙNG VƯƠNG,[HN] Data Analyst," Dưới 28,6 Tr VND","
Hà Nội
",17/03/2022
